INCIDENT_NUMBER,SHOOTING_TYPE,INCIDENT_DATE,INCIDENT_YEAR,INCIDENT_LOCATION,CITY,STATE,ZIP,REPORTING_DISTRICT,GEO_LOCATION,HANDLING_UNIT_ID,HANDLING_UNIT_NAME,HIT_SHOOTING,NON_HIT_SHOOTING,ANIMAL_SHOOTING,OTHER_SHOOTING,UNINTENTIONAL_DISCHARGE,WARNING_SHOT,APPROX_LATITUDE,APPROX_LONGITUDE,ObjectId
1000467,1,2013/10/29 00:01:00+00,2013,3900 WEST CENTURY BLVD,INGLEWOOD,CA,90303,399,"3900 WEST CENTURY BLVD
INGLEWOOD, CA 90303
(33.945462, -118.342009)",SLA,SOUTH LOS ANGELES STATION,1,,,,,,33.945462,-118.342009,1
1000146,3,2014/08/11 23:40:00+00,2014,15400 CLARK AVENUE,BELLFLOWER,CA,90706,1332,"15400 CLARK AVENUE
BELLFLOWER, CA 90706
(33.894282, -118.134013)",LKD,LAKEWOOD STN,,,1,,,,33.894282,-118.134013,2
1000259,5,2014/10/01 08:30:00+00,2014,1400 W. MCKINLEY AVENUE,POMONA,CA,91768,2008,"1400 W. MCKINLEY AVENUE
POMONA, CA 91768
(34.082047, -117.770335)",ATD,ALTADENA STN,,,,,1,,34.082047,-117.770335,3
1000014,3,2011/01/26 06:15:00+00,2011,100 SANTA BELLA ROAD,ROLLING HILLS ESTATE,CA,90274,384,"100 SANTA BELLA ROAD
ROLLING HILLS ESTATE, CA 90274
(33.782692, -118.358133)",LMT,LOMITA STN,,,1,,,,33.782692,-118.358133,4
1000339,1,2011/02/11 14:35:00+00,2011,EAST 60 FREEWAY AND SANTA ANITA AVENUE,SOUTH EL MONTE,CA,91773,562,"EAST 60 FREEWAY AND SANTA ANITA AVENUE
SOUTH EL MONTE, CA 91773
(34.03984599003457, -118.05171500598513)",TTCF,TWIN TOWERS CORRECTIONAL FACILITY,1,,,,,,34.03984599003457,-118.051715005985136,5
1000197,5,2011/01/07 20:25:00+00,2011,1300 W. IMPERIAL HIGHWAY,LOS ANGELES,CA,90044,378,"1300 W. IMPERIAL HIGHWAY
LOS ANGELES, CA 90044
(33.930905, -118.297864)",OSS,OPERATION SAFE STREETS BUREAU,,,,,1,,33.930905,-118.297864,6
1000592,5,2015/07/12 17:50:00+00,2015,11700 S. ALAMEDA STREET,LYNWOOD,CA,90626,2110,"11700 S. ALAMEDA STREET
LYNWOOD, CA 90626
(33.92792, -118.226293)",CEN,CENTURY STN,,,,,1,,33.92792,-118.226293,7
1000292,1,2010/03/09 11:32:00+00,2010,6300 BEAR AVENUE,BELL GARDENS,CA,90201,3199,"6300 BEAR AVENUE
BELL GARDENS, CA 90201
(33.980614, -118.197058)",SEB,SPECIAL ENFORCEMENT BUR,1,,,,,,33.980614,-118.197058,8
1001791,1,2019/12/16 17:38:00+00,2019,3600 4TH STREET,LOS ANGELES,CA,90063,277,"3600 4TH STREET
LOS ANGELES, CA 90063
(34.033182, -118.187465)",ELA,EAST LA STN,1,,,,,,34.033182,-118.187465,9
1002011,1,2020/09/23 00:00:00+00,2020,7600 PAINTER AVENUE,WHITTIER,CA,90602,3199,"7600 PAINTER AVENUE
WHITTIER, CA 90602
(33.973508, -118.032637)",EST,COURT SERVICES EAST,1,,,,,,33.973508,-118.032637,10
